font	group	site	candidate	label	markH	capH	wordH	t	vsCap	vsWordInk	panelH	renderedVsCap	renderedVsWordInk
Helvetica	freshness	ProjectsView[IconWarningFilled+Updated 4 m ago]	d	Updated 4 m ago	12.000	8.607	11.109	1.000	0.625	-0.687	12.000	0.995	-0.427
Helvetica	legend	StatisticsView[Panel+Einstein@Home]	d	Einstein@Home	12.000	8.607	11.109	1.000	0.625	0.617	12.000	1.171	0.882
Helvetica	legend	StatisticsView[Panel+LHC@home]	d	LHC@home	12.000	8.607	11.109	1.000	0.625	0.617	12.000	1.154	0.869
Helvetica	computing	TasksView[IconChevronDownRegular+Computing]	d	Computing	12.000	9.731	12.441	1.000	0.678	-0.633	16.000	0.837	-0.649
Helvetica	computing	TasksView[IconPlaySettingsRegular+Computing]	d	Computing	16.000	9.731	12.441	1.000	0.678	-0.633	16.000	0.791	-0.694
Helvetica	freshness	TasksView[IconWarningFilled+3 deadlines at risk]	d	3 deadlines at risk	12.000	8.607	11.109	1.000	0.625	0.520	27.000	0.995	0.775
Helvetica	freshness	TasksView[IconWarningFilled+Updated 4 m ago]	d	Updated 4 m ago	12.000	8.607	11.109	1.000	0.625	-0.687	12.000	0.995	-0.427
Helvetica	freshness	TransfersView[IconWarningFilled+Updated 4 m ago]	d	Updated 4 m ago	12.000	8.607	11.109	1.000	0.625	-0.687	12.000	0.995	-0.427
Inter	cells	TasksView[07-11 00:00]	n/a	07-11 00:00	10.000	8.727	11.182		0.023	-0.000	10.000	0.136	-0.078
Inter	cells	TasksView[Running]	a	Running	12.000	8.727	11.182	1.000	0.000	-1.159	12.000	0.235	-1.227
Inter	cells	ProjectsView[Active]	a	Active	12.000	8.727	11.182	1.000	0.000	0.068	12.000	0.214	-0.013
Inter	cells	TransfersView[Active]	a	Active	12.000	8.727	11.182	1.000	0.000	0.068	12.000	0.214	-0.013
Inter	cells	TasksView[07-11 00:00]	n/a	07-11 00:00	10.000	8.727	11.182		0.023	-0.000	10.000	0.136	-0.078
Inter	cells	TasksView[Running]	b	Running	12.000	8.727	11.182	1.000	1.227	0.068	12.000	1.735	0.273
Inter	cells	ProjectsView[Active]	b	Active	12.000	8.727	11.182	1.000	1.227	1.295	12.000	1.714	1.487
Inter	cells	TransfersView[Active]	b	Active	12.000	8.727	11.182	1.000	1.227	1.295	12.000	1.714	1.487
Inter	cells	TasksView[07-11 00:00]	n/a	07-11 00:00	10.000	8.727	11.182		0.023	-0.000	10.000	0.136	-0.078
Inter	cells	TasksView[Running]	c	Running	12.000	8.727	11.182	1.000	1.227	0.068	12.000	1.735	0.273
Inter	cells	ProjectsView[Active]	c	Active	12.000	8.727	11.182	1.000	1.227	1.295	12.000	1.714	1.487
Inter	cells	TransfersView[Active]	c	Active	12.000	8.727	11.182	1.000	1.227	1.295	12.000	1.714	1.487
Inter	cells	TasksView[07-11 00:00]	n/a	07-11 00:00	10.000	8.727	11.182		0.023	-0.000	10.000	0.136	-0.078
Inter	cells	TasksView[Running]	d	Running	12.000	8.727	11.182	1.000	0.614	-0.545	12.000	0.735	-0.701
Inter	cells	ProjectsView[Active]	d	Active	12.000	8.727	11.182	1.000	0.614	0.682	12.000	0.714	0.487
Inter	cells	TransfersView[Active]	d	Active	12.000	8.727	11.182	1.000	0.614	0.682	12.000	0.714	0.487
Helvetica	cells	TasksView[07-11 00:00]	n/a	07-11 00:00	10.000	8.982	11.484		0.211	-0.012	10.000	0.079	0.079
Helvetica	cells	TasksView[Running]	a	Running	12.000	8.607	11.109	1.000	0.000	-1.327	12.000	-0.074	-1.385
Helvetica	cells	ProjectsView[Active]	a	Active	12.000	8.607	11.109	1.000	0.000	-0.111	12.000	-0.073	-0.233
Helvetica	cells	TransfersView[Active]	a	Active	12.000	8.607	11.109	1.000	0.000	-0.111	12.000	-0.073	-0.233
Helvetica	cells	TasksView[07-11 00:00]	n/a	07-11 00:00	10.000	8.982	11.484		0.211	-0.012	10.000	0.079	0.079
Helvetica	cells	TasksView[Running]	b	Running	12.000	8.607	11.109	1.000	1.251	-0.076	12.000	1.426	0.058
Helvetica	cells	ProjectsView[Active]	b	Active	12.000	8.607	11.109	1.000	1.251	1.140	12.000	1.427	1.267
Helvetica	cells	TransfersView[Active]	b	Active	12.000	8.607	11.109	1.000	1.251	1.140	12.000	1.427	1.267
Helvetica	cells	TasksView[07-11 00:00]	n/a	07-11 00:00	10.000	8.982	11.484		0.211	-0.012	10.000	0.079	0.079
Helvetica	cells	TasksView[Running]	c	Running	12.000	8.607	11.109	1.000	1.251	-0.076	12.000	1.426	0.058
Helvetica	cells	ProjectsView[Active]	c	Active	12.000	8.607	11.109	1.000	1.251	1.140	12.000	1.427	1.267
Helvetica	cells	TransfersView[Active]	c	Active	12.000	8.607	11.109	1.000	1.251	1.140	12.000	1.427	1.267
Helvetica	cells	TasksView[07-11 00:00]	n/a	07-11 00:00	10.000	8.982	11.484		0.211	-0.012	10.000	0.079	0.079
Helvetica	cells	TasksView[Running]	d	Running	12.000	8.607	11.109	1.000	0.625	-0.702	12.000	0.926	-0.442
Helvetica	cells	ProjectsView[Active]	d	Active	12.000	8.607	11.109	1.000	0.625	0.514	12.000	0.927	0.767
Helvetica	cells	TransfersView[Active]	d	Active	12.000	8.607	11.109	1.000	0.625	0.514	12.000	0.927	0.767
Inter	swatch	StatisticsView[Panel+Einstein@Home]	size-1	Einstein@Home	12.000	8.727	11.182		0.000	-1.014	12.000	0.216	-1.092
Inter	swatch	StatisticsView[Panel+LHC@home]	size-1	LHC@home	12.000	8.727	11.182		0.000	-1.091	12.000	0.111	-1.145
Inter	swatch	StatisticsView[Panel+Einstein@Home]	size-2	Einstein@Home	8.727	8.727	11.182		0.000	-1.014	8.727	0.236	-1.082
Inter	swatch	StatisticsView[Panel+LHC@home]	size-2	LHC@home	8.727	8.727	11.182		0.000	-1.091	8.727	0.112	-1.144
Inter	swatch	StatisticsView[Panel+Einstein@Home]	size-3	Einstein@Home	6.545	8.727	11.182		0.000	-1.014	8.727	0.234	-1.084
Inter	swatch	StatisticsView[Panel+LHC@home]	size-3	LHC@home	6.545	8.727	11.182		0.000	-1.091	8.727	0.110	-1.146
Helvetica	swatch	StatisticsView[Panel+Einstein@Home]	size-1	Einstein@Home	12.000	8.607	11.109		0.000	-0.009	12.000	0.171	-0.118
Helvetica	swatch	StatisticsView[Panel+LHC@home]	size-1	LHC@home	12.000	8.607	11.109		0.000	-0.009	12.000	0.154	-0.131
Helvetica	swatch	StatisticsView[Panel+Einstein@Home]	size-2	Einstein@Home	8.607	8.607	11.109		0.000	-0.009	8.607	0.170	-0.119
Helvetica	swatch	StatisticsView[Panel+LHC@home]	size-2	LHC@home	8.607	8.607	11.109		0.000	-0.009	8.607	0.170	-0.121
Helvetica	swatch	StatisticsView[Panel+Einstein@Home]	size-3	Einstein@Home	6.275	8.607	11.109		0.000	-0.009	8.607	0.155	-0.130
Helvetica	swatch	StatisticsView[Panel+LHC@home]	size-3	LHC@home	6.275	8.607	11.109		0.000	-0.009	8.607	0.172	-0.117
Inter	swatch	StatisticsView[Panel+Einstein@Home]	size-1	Einstein@Home	12.000	8.727	11.182		0.000	-1.014	12.000	0.273	-1.126
Inter	swatch	StatisticsView[Panel+LHC@home]	size-1	LHC@home	12.000	8.727	11.182		0.000	-1.091	12.000	0.134	-1.195
Inter	swatch	StatisticsView[Panel+Einstein@Home]	size-2	Einstein@Home	8.727	8.727	11.182		0.000	-1.014	8.727	0.311	-1.108
Inter	swatch	StatisticsView[Panel+LHC@home]	size-2	LHC@home	8.727	8.727	11.182		0.000	-1.091	8.727	0.135	-1.195
Inter	swatch	StatisticsView[Panel+Einstein@Home]	size-3	Einstein@Home	6.545	8.727	11.182		0.000	-1.014	8.727	0.311	-1.106
Inter	swatch	StatisticsView[Panel+LHC@home]	size-3	LHC@home	6.545	8.727	11.182		0.000	-1.091	8.727	0.135	-1.195
Helvetica	swatch	StatisticsView[Panel+Einstein@Home]	size-1	Einstein@Home	12.000	8.607	11.109		0.000	-0.009	12.000	0.194	-0.166
Helvetica	swatch	StatisticsView[Panel+LHC@home]	size-1	LHC@home	12.000	8.607	11.109		0.000	-0.009	12.000	0.192	-0.172
Helvetica	swatch	StatisticsView[Panel+Einstein@Home]	size-2	Einstein@Home	8.607	8.607	11.109		0.000	-0.009	8.607	0.195	-0.166
Helvetica	swatch	StatisticsView[Panel+LHC@home]	size-2	LHC@home	8.607	8.607	11.109		0.000	-0.009	8.607	0.195	-0.169
Helvetica	swatch	StatisticsView[Panel+Einstein@Home]	size-3	Einstein@Home	6.275	8.607	11.109		0.000	-0.009	8.607	0.193	-0.171
Helvetica	swatch	StatisticsView[Panel+LHC@home]	size-3	LHC@home	6.275	8.607	11.109		0.000	-0.009	8.607	0.195	-0.166
